timestamp,can_id,can_id_hex,ecu_name,dlc,payload_hex,delta_t,global_delta_t,entropy,byte_0,byte_1,byte_2,byte_3,byte_4,byte_5,byte_6,byte_7,decoded_summary,label
1000000.000000,160,0x0A0,Brake/ABS ECU,6,000000000000,0.000000,0.000000,0.0000,0,0,0,0,0,0,0,0,brake_pct=0; abs_active=False; wheel_speeds=[0,0,0,0],NORMAL
1000000.000000,272,0x110,Engine RPM ECU,4,03200001,0.000000,0.000000,1.5000,3,32,0,1,0,0,0,0,rpm=800; throttle_pct=0; engine_status=RUNNING,NORMAL
1000000.000000,288,0x120,Speedometer ECU,4,0000004A,0.000000,0.000000,0.8113,0,0,0,74,0,0,0,0,speed_kmh=0.0,NORMAL
1000000.000000,384,0x180,Transmission ECU,5,0100000100,0.000000,0.000000,0.9710,1,0,0,1,0,0,0,0,gear=G1; torque_nm=0; clutch=ENGAGED,NORMAL
1000000.010000,160,0x0A0,Brake/ABS ECU,6,000000000000,0.010000,0.010000,0.0000,0,0,0,0,0,0,0,0,brake_pct=0; abs_active=False; wheel_speeds=[0,0,0,0],NORMAL
1000000.020000,272,0x110,Engine RPM ECU,4,04DC2801,0.020000,0.010000,2.0000,4,220,40,1,0,0,0,0,rpm=1244; throttle_pct=40; engine_status=RUNNING,NORMAL
1000000.020000,160,0x0A0,Brake/ABS ECU,6,000000000000,0.010000,0.000000,0.0000,0,0,0,0,0,0,0,0,brake_pct=0; abs_active=False; wheel_speeds=[0,0,0,0],NORMAL
1000008.000000,0,0x000,Unknown ECU,8,0000000000000000,0.000000,7.980000,0.0000,0,0,0,0,0,0,0,0,Raw Payload,ATTACK_FLOOD
1000008.000400,0,0x000,Unknown ECU,8,0000000000000000,0.000400,0.000400,0.0000,0,0,0,0,0,0,0,0,Raw Payload,ATTACK_FLOOD
1000008.000800,0,0x000,Unknown ECU,8,0000000000000000,0.000400,0.000400,0.0000,0,0,0,0,0,0,0,0,Raw Payload,ATTACK_FLOOD
1000008.001200,0,0x000,Unknown ECU,8,0000000000000000,0.000400,0.000400,0.0000,0,0,0,0,0,0,0,0,Raw Payload,ATTACK_FLOOD
1000008.001600,0,0x000,Unknown ECU,8,0000000000000000,0.000400,0.000400,0.0000,0,0,0,0,0,0,0,0,Raw Payload,ATTACK_FLOOD
1000008.002000,0,0x000,Unknown ECU,8,0000000000000000,0.000400,0.000400,0.0000,0,0,0,0,0,0,0,0,Raw Payload,ATTACK_FLOOD
1000008.002400,0,0x000,Unknown ECU,8,0000000000000000,0.000400,0.000400,0.0000,0,0,0,0,0,0,0,0,Raw Payload,ATTACK_FLOOD
1000008.002800,0,0x000,Unknown ECU,8,0000000000000000,0.000400,0.000400,0.0000,0,0,0,0,0,0,0,0,Raw Payload,ATTACK_FLOOD
1000018.000000,160,0x0A0,Brake/ABS ECU,6,640100000000,0.001200,9.997200,0.9183,100,1,0,0,0,0,0,0,brake_pct=100; abs_active=True; wheel_speeds=[0,0,0,0],ATTACK_SPOOF_BRAKE
1000018.005000,160,0x0A0,Brake/ABS ECU,6,640100000000,0.005000,0.005000,0.9183,100,1,0,0,0,0,0,0,brake_pct=100; abs_active=True; wheel_speeds=[0,0,0,0],ATTACK_SPOOF_BRAKE
1000018.010000,160,0x0A0,Brake/ABS ECU,6,640100000000,0.005000,0.005000,0.9183,100,1,0,0,0,0,0,0,brake_pct=100; abs_active=True; wheel_speeds=[0,0,0,0],ATTACK_SPOOF_BRAKE
1000018.015000,160,0x0A0,Brake/ABS ECU,6,640100000000,0.005000,0.005000,0.9183,100,1,0,0,0,0,0,0,brake_pct=100; abs_active=True; wheel_speeds=[0,0,0,0],ATTACK_SPOOF_BRAKE
1000026.000000,841,0x349,Unknown ECU,8,9A2F7C18E50239A1,0.000000,7.985000,3.0000,154,47,124,24,229,2,57,161,Raw Payload,ATTACK_FUZZING
1000026.001000,437,0x1B5,Unknown ECU,8,5D8E210CF471AA33,0.000000,0.001000,2.9528,93,142,33,12,244,113,170,51,Raw Payload,ATTACK_FUZZING
1000026.002000,1205,0x4B5,Unknown ECU,8,1F2B889C05A177E2,0.000000,0.001000,2.9528,31,43,136,156,5,161,119,226,Raw Payload,ATTACK_FUZZING
