timestamp,can_id,can_id_hex,ecu_name,dlc,payload_hex,delta_t,global_delta_t,entropy,byte_0,byte_1,byte_2,byte_3,byte_4,byte_5,byte_6,byte_7,decoded_summary,label
1000000.000000,160,0x0A0,Brake/ABS ECU,6,000000000000,0.000000,0.000000,0.0000,0,0,0,0,0,0,0,0,brake_pct=0; abs_active=False; wheel_speeds=[0,0,0,0],NORMAL
1000000.000000,272,0x110,Engine RPM ECU,4,03200001,0.000000,0.000000,1.5000,3,32,0,1,0,0,0,0,rpm=800; throttle_pct=0; engine_status=RUNNING,NORMAL
1000000.000000,288,0x120,Speedometer ECU,4,0000004A,0.000000,0.000000,0.8113,0,0,0,74,0,0,0,0,speed_kmh=0.0,NORMAL
1000000.000000,384,0x180,Transmission ECU,5,0100000100,0.000000,0.000000,0.9710,1,0,0,1,0,0,0,0,gear=G1; torque_nm=0; clutch=ENGAGED,NORMAL
1000000.000000,304,0x130,Coolant/Oil Temp ECU,3,554200,0.000000,0.000000,1.5850,85,66,0,0,0,0,0,0,coolant_temp_c=45; oil_pressure_bar=6.6,NORMAL
1000000.000000,560,0x230,Body Doors ECU,4,FF000100,0.000000,0.000000,1.5000,255,0,1,0,0,0,0,0,doors_locked=True; driver_seatbelt=True,NORMAL
1000000.000000,624,0x270,Lighting/Signals ECU,2,0100,0.000000,0.000000,1.0000,1,0,0,0,0,0,0,0,headlights=ON; turn_signal=NONE,NORMAL
1000000.000000,576,0x240,Climate/HVAC ECU,4,16150301,0.000000,0.000000,2.0000,22,21,3,1,0,0,0,0,target_temp_c=22; ambient_temp_c=21; fan_speed=3; ac_on=True,NORMAL
1000000.010000,160,0x0A0,Brake/ABS ECU,6,000000000000,0.010000,0.010000,0.0000,0,0,0,0,0,0,0,0,brake_pct=0; abs_active=False; wheel_speeds=[0,0,0,0],NORMAL
1000000.020000,160,0x0A0,Brake/ABS ECU,6,000000000000,0.010000,0.010000,0.0000,0,0,0,0,0,0,0,0,brake_pct=0; abs_active=False; wheel_speeds=[0,0,0,0],NORMAL
1000000.020000,272,0x110,Engine RPM ECU,4,04DC2801,0.020000,0.000000,2.0000,4,220,40,1,0,0,0,0,rpm=1244; throttle_pct=40; engine_status=RUNNING,NORMAL
1000000.030000,160,0x0A0,Brake/ABS ECU,6,000000000000,0.010000,0.010000,0.0000,0,0,0,0,0,0,0,0,brake_pct=0; abs_active=False; wheel_speeds=[0,0,0,0],NORMAL
1000000.040000,160,0x0A0,Brake/ABS ECU,6,000000000000,0.010000,0.010000,0.0000,0,0,0,0,0,0,0,0,brake_pct=0; abs_active=False; wheel_speeds=[0,0,0,0],NORMAL
1000000.040000,272,0x110,Engine RPM ECU,4,050F2901,0.020000,0.000000,2.0000,5,15,41,1,0,0,0,0,rpm=1295; throttle_pct=41; engine_status=RUNNING,NORMAL
1000000.050000,160,0x0A0,Brake/ABS ECU,6,000000000000,0.010000,0.010000,0.0000,0,0,0,0,0,0,0,0,brake_pct=0; abs_active=False; wheel_speeds=[0,0,0,0],NORMAL
1000000.050000,288,0x120,Speedometer ECU,4,00FA004A,0.050000,0.000000,1.5000,0,250,0,74,0,0,0,0,speed_kmh=2.5,NORMAL
1000000.050000,384,0x180,Transmission ECU,5,01008C0100,0.050000,0.000000,1.3710,1,0,140,1,0,0,0,0,gear=G1; torque_nm=140; clutch=ENGAGED,NORMAL
1000000.060000,160,0x0A0,Brake/ABS ECU,6,000002020101,0.010000,0.010000,1.4591,0,0,2,2,1,1,0,0,brake_pct=0; abs_active=False; wheel_speeds=[2,2,1,1],NORMAL
1000000.060000,272,0x110,Engine RPM ECU,4,05432B01,0.020000,0.000000,2.0000,5,67,43,1,0,0,0,0,rpm=1347; throttle_pct=43; engine_status=RUNNING,NORMAL
1000000.070000,160,0x0A0,Brake/ABS ECU,6,000003030202,0.010000,0.010000,1.4591,0,0,3,3,2,2,0,0,brake_pct=0; abs_active=False; wheel_speeds=[3,3,2,2],NORMAL
